Target_Year,Agriculture Year,Agriculture_Year_Anchor,Coconut_Productivity_DeclaredMillionUnit_per_Hectare,Coconut_Productivity_DeclaredMillionUnit_per_Hectare_Lag1,T2M_Jun_Sep_Mean_Lag1,T2M_MIN_Jun_Sep_Mean_Lag1,ALLSKY_SFC_SW_DWN_Jan_Feb_Total_Lag3,WS10M_Mar_May_Mean_Lag1,RH2M_Mar_May_Mean_Lag3,PRECTOTCORR_Mar_May_Total_Lag3,T2M_MAX_Jun_Sep_Mean_Lag2
1981,1981-82,start,0.004509329181030215,,,,,,,,
1982,1982-83,start,0.004721387708377201,0.004509329181030215,23.716147540983606,20.795737704918032,,2.2510869565217395,,,
1983,1983-84,start,0.003813677942079583,0.004721387708377201,23.63827868852459,20.695081967213117,,2.1059782608695654,,,27.58729508196721
1984,1984-85,start,0.005022669651467746,0.003813677942079583,23.919754098360656,20.326639344262293,,2.492173913043479,68.20739130434782,239.57999999999998,28.06254098360656
1985,1985-86,start,0.004792232524741657,0.005022669651467746,23.423688524590165,20.081475409836067,,2.1755434782608694,69.1404347826087,226.97,29.41049180327869
1986,1986-87,start,0.004493653228193461,0.004792232524741657,23.17762295081967,19.938196721311474,,2.484565217391304,62.71347826086956,19.160000000000004,27.588278688524593
1987,1987-88,start,0.0043153869467928005,0.004493653228193461,23.698934426229513,20.439754098360655,1102.68,2.4113043478260874,74.68032608695653,303.8,27.148032786885246
1988,1988-89,start,0.005159876603662717,0.0043153869467928005,24.272131147540982,20.92204918032787,1220.1,2.1858695652173914,69.35489130434782,230.92000000000002,28.79352459016393
1989,1989-90,start,0.005236885555184373,0.005159876603662717,23.898688524590163,21.09467213114754,1085.45,2.2546739130434785,68.96217391304349,109.12,29.175081967213114
1990,1990-91,start,0.004864244812200151,0.005236885555184373,23.577868852459016,19.986967213114752,1207.78,2.4011956521739135,63.12760869565217,108.61,28.409180327868853
1991,1991-92,start,0.005377371935471537,0.004864244812200151,23.696229508196723,20.43262295081967,1210.7000000000003,2.6819565217391306,71.68184782608695,251.99999999999994,28.43934426229508
1992,1992-93,start,0.005842565438101189,0.005377371935471537,23.920081967213115,21.03090163934426,1252.63,2.3525,67.31163043478261,193.26999999999998,27.80016393442623
1993,1993-94,start,0.005884666431672925,0.005842565438101189,23.714508196721308,21.256147540983605,1200.5700000000002,2.1785869565217393,68.81380434782609,326.78000000000003,28.846885245901635
1994,1994-95,start,0.005857556863089488,0.005884666431672925,23.819590163934425,20.972295081967214,1176.22,2.224565217391304,65.08565217391305,20.04,28.372131147540983
1995,1995-96,start,0.00563776151885998,0.005857556863089488,23.635655737704916,20.525409836065574,1213.75,2.184021739130435,66.54836956521739,234.2,27.91
1996,1996-97,start,0.005848549612904942,0.00563776151885998,23.99270491803279,21.248852459016394,1179.6999999999998,2.0859782608695654,67.68173913043478,191.37,27.715655737704918
1997,1997-98,start,0.005890241806355898,0.005848549612904942,23.81188524590164,21.014262295081966,1165.6,2.1455434782608696,71.19347826086955,233.31,28.864590163934427
1998,1998-99,start,0.0058166947754021365,0.005890241806355898,24.322131147540983,21.124262295081966,1171.91,2.128478260869565,68.7983695652174,290.49,28.828852459016392
1999,1999-00,start,0.006140308204554423,0.0058166947754021365,24.24106557377049,21.7422131147541,1200.1399999999999,2.2207608695652175,67.38152173913043,157.5,29.33901639344262
2000,2000-01,start,0.005979803042397624,0.006140308204554423,23.851721311475412,20.89114754098361,1187.92,2.4991304347826087,65.30521739130435,99.5,28.98467213114754
2001,2001-02,start,0.006049344277137034,0.005979803042397624,23.903032786885248,20.782950819672134,1147.4099999999999,2.349456521739131,65.59978260869566,161.26000000000002,28.141639344262295
2002,2002-03,start,0.006348990989748643,0.006049344277137034,23.884344262295084,20.946803278688524,1253.42,2.1482608695652172,72.53945652173914,335.93000000000006,28.404836065573768
2003,2003-04,start,0.006539803093607331,0.006348990989748643,24.18827868852459,20.97565573770492,1170.8899999999999,2.1520652173913044,70.2188043478261,126.77,27.920573770491803
2004,2004-05,start,0.006673212738819505,0.006539803093607331,24.387459016393446,21.349180327868854,1156.8899999999999,1.997608695652174,73.37456521739131,402.07000000000005,28.95245901639344
2005,2005-06,start,0.007045853738946998,0.006673212738819505,23.846639344262293,21.000901639344264,1166.91,2.1393478260869565,67.9779347826087,256.92,29.18
2006,2006-07,start,0.00693516071496077,0.007045853738946998,24.36040983606557,21.54860655737705,1216.19,1.9440217391304346,71.99532608695652,238.95999999999998,27.842049180327866
2007,2007-08,start,0.006889249302648227,0.00693516071496077,24.100409836065573,20.76762295081967,1272.81,2.309891304347826,72.80695652173912,630.3800000000001,28.89295081967213
2008,2008-09,start,0.007365103221883573,0.006889249302648227,24.075901639344263,20.88122950819672,1235.96,2.0057608695652176,71.4116304347826,215.31,28.468524590163934
2009,2009-10,start,0.0072782802349804394,0.007365103221883573,24.001065573770493,20.930983606557376,1245.71,2.049782608695652,71.76913043478261,516.65,28.758196721311474
2010,2010-11,start,0.006862018526281907,0.0072782802349804394,24.11418032786885,20.559016393442622,1227.29,2.009673913043478,70.54478260869566,307.26,28.672377049180326
2011,2011-12,start,0.007237469650990964,0.006862018526281907,24.118688524590166,20.977622950819672,1225.9,2.076195652173913,76.69141304347826,430.49,28.679508196721315
2012,2012-13,start,0.007265442353807873,0.007237469650990964,23.896229508196722,20.551721311475408,1274.27,2.126304347826087,71.78434782608696,277.99,29.70991803278689
2013,2013-14,start,0.00732210717408214,0.007265442353807873,24.167377049180327,20.979016393442624,1212.52,2.2054347826086955,71.89260869565217,278.08000000000004,27.988278688524588
2014,2014-15,start,0.007491283053853596,0.00732210717408214,23.850409836065573,21.14114754098361,1202.87,2.4195652173913045,71.05347826086957,262.6,28.989262295081968
2015,2015-16,start,0.007432079299134548,0.007491283053853596,24.41672131147541,21.468688524590167,1267.38,1.9640217391304347,72.28423913043478,207.41000000000003,28.28016393442623
2016,2016-17,start,0.006889350681257486,0.007432079299134548,24.80622950819672,21.243360655737707,1227.13,1.748260869565217,68.38021739130434,169.87,28.78934426229508
2017,2017-18,start,0.006877570047985187,0.006889350681257486,24.242622950819673,20.63565573770492,1194.19,2.212608695652174,69.10391304347827,331.53000000000003,29.756967213114752
2018,2018-19,start,0.0069637004465494265,0.006877570047985187,24.520655737704914,21.225491803278686,1224.5700000000002,2.104891304347826,73.49891304347827,320.23,28.43950819672131
2019,2019-20,start,0.006327749560974584,0.0069637004465494265,24.169754098360652,20.58606557377049,1192.8000000000002,1.8931521739130437,68.83347826086955,172.43,29.046311475409833
2020,2020-21,start,0.006227814710805935,0.006327749560974584,24.806803278688523,21.61467213114754,1223.79,2.0845652173913045,73.12282608695652,312.49,28.64286885245901
2021,2021-22,start,0.007231182268905916,0.006227814710805935,24.441639344262295,21.563688524590162,1223.08,1.9356521739130437,72.68032608695653,378.47,29.956393442622954
